2025-05-26 18:16:25 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/ranking/vs-1-5-by-other?date=2025-04-23, sleeping 4 minutes before retry
2025-05-26 18:20:34 INFO     root: populate_pregame_data: inserted/updated 3 rows, skipped 0 games.
2025-05-26 18:20:34 INFO     root: Postprocessing NBA on 2025-04-23
2025-05-26 18:20:34 INFO     root: Updated final scores for 3 games. Skipped 0 games.
2025-05-26 18:20:34 INFO     root: Preprocessing MLB on 2025-04-23
2025-05-26 18:22:17 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 18:22:17 INFO     root: Postprocessing MLB on 2025-04-23
2025-05-26 18:22:17 INFO     root: Updated final scores for 14 games. Skipped 1 games.
2025-05-26 18:22:17 INFO     root: Preprocessing NBA on 2025-04-22
2025-05-26 18:23:40 INFO     root: populate_pregame_data: inserted/updated 3 rows, skipped 0 games.
2025-05-26 18:23:40 INFO     root: Postprocessing NBA on 2025-04-22
2025-05-26 18:23:41 INFO     root: Updated final scores for 3 games. Skipped 0 games.
2025-05-26 18:23:41 INFO     root: Preprocessing MLB on 2025-04-22
2025-05-26 18:23:56 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/batting-average-on-balls-in-play?date=2025-04-22, sleeping 4 minutes before retry
2025-05-26 18:29:25 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 18:29:25 INFO     root: Postprocessing MLB on 2025-04-22
2025-05-26 18:29:25 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 18:29:25 INFO     root: Preprocessing NBA on 2025-04-21
2025-05-26 18:30:45 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 18:30:45 INFO     root: Postprocessing NBA on 2025-04-21
2025-05-26 18:30:45 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 18:30:45 INFO     root: Preprocessing MLB on 2025-04-21
2025-05-26 18:31:15 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/opponent-team-left-on-base-per-game?date=2025-04-21, sleeping 4 minutes before retry
